Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_text,job_state,same_state,age,python_yn,rstudio_yn,r_yn,spark_yn,aws_yn,excel_yn
"Real World Science, Data Scientist",$92K-$151K (Glassdoor Est.),"Title: Real World Science, Data Scientist
Location: Gaithersburg, MD

At AstraZeneca we turn ideas into life changing medicines. Working here means being entrepreneurial, thinking big and working together to make the impossible a reality.
Were focused on the potential of science to address the unmet needs of patients around the world. We commit to those areas where we think we can really change the course of medicine and bring big new ideas to life.

Job Description

The Real World Science & Digital team is a growing group within AstraZenecas global Evidence function which is driving the scientific use of Real World Data to accelerate the way patients access innovative medicines. The Real World Science and Digital team comprises of a core quantitative group, Digital Platform leads and Data Strategy experts providing AstraZeneca with an enterprise hub for Real World Science. AstraZeneca has a rich history in Real World Evidence, having developed a coherent strategy to develop and internalize data assets the group is now amplifying those investments through a dedicated Real World Data Science capability. Real World Data Scientists who are successful in this role will work on challenging problems, using innovative approaches to accelerate the delivery of Real World Insights and Evidence for key internal and external stakeholders.

The ideal candidate for this role will bring a proven track record of delivering value through the leverage of routinely collected data from healthcare settings to provide health analytics and insights in a range of contexts including Public Health, Pharmaceutical Research and Development and Commercial/ Payer.

They will collaborate with colleagues in Epidemiology, Statistics and Payer, giving scientific and technical guidance on study design, RW data selection and best practice in RW data utilization.

In addition, they will assist in advancing and shaping AZs Real World Science data strategy through the due diligence on new data providers/vendors, informatics support for data acquisitions in a range of Therapeutic Areas.

The role will promote best practice in Real World Data Science across multiple domains, and/or stakeholder groups.

Typical Accountabilities
Collaborate with Payer and Epidemiology teams to maximise the value derived from large observational research data
Deliver analyses of data from EMR, claims and primary observational data required by TA RWE strategies
Support the development of IVS strategies and selection of optimised contact models for prioritised markets through analysis of RWD
Provide scientific guidance on the application of Real World Evidence and observational research data to address issues across the Oncology and Biopharmaceuticals business units
Provide technical input, options and directions to strategic decisions made by AZ observational study teams on study design, data partner selection and best practices in RWE data utilization
Support technical teams to provide access to analytical tools and develop visual analytics to enable self-serving applications for end customers
Provide clear technical input, options, and direction to strategic decisions on RWE platform and capability build
Provide support for strategic decisions on AZ Medical Evidence and Observational Research external collaborations in the US and other markets
Assist in building a capability that becomes a source of sustained competitive advantage for AZ in identifying, acquiring, integrating and mining diverse RW data from multiple geographic and healthcare system sources to support evidence generation and real-world studies
Evaluate and assess strengths and weaknesses of external RW data sources, and potential partners for advancing the data strategy for specific therapeutic areas
Maintain a strong insight into the capabilities of potential external partners in RWE, especially for US and emerging markets.
Education, Qualifications, Skills and Experience

Key Relationships to reach solutions

Internal (to AZ or team)
Payer Evidence & Planning
Epidemiologists
Observational Research teams
Oncology and Biopharmaceuticals Medical Affairs Leads
Product and portfolio strategy
Medical Evidence Planning
Key experts in Data science /Analytics environments at AZ, and external partner organizations.
External (to AZ)
AZ RWS existing, prospective or potential partner organizations,
Key academic collaborators and thought leaders
Essential Requirements
PhD or MS in data science or other advanced degree in life sciences with post doctoral or other training/work in Medical/Health Informatics or related field
Experience in real-world evidence and familiarity with health economics/epidemiology, and quantitative science such as health outcome modelling
Expertise in EMR/Health IT, disease registries, and insurance claims databases
Expertise in clinical data standards, medical terminologies and controlled vocabularies used in healthcare data and ontologies (ICD9/10/ReadCode)
Experience in supporting pharmacoepidemiology studies with proven track record of advancing approaches with data science
Experience in Statistical Analysis Plan (SAP) generation and execution for observational studies
Expertise in methods development and application using statistical languages such as R/Matlab/SAS/SQL/Hadoop/Python
Experience in advanced visualisation and visual analytics of routinely collected healthcare data
Desirable
Expertise in data mining approaches within healthcare settings generating insight from routinely collected healthcare data
A history of patient care or equivalent background of working at a patient care setting that allows the candidate to bring medical perspective into real-world evidence generation and observational studies
Demonstrated ability to build long-term relationships with stakeholders at senior levels, understand relevant scientific/business challenges at a deep level and translate into a programme of informatics activities to deliver defined value
Ability to lead & manage multi-disciplinary data science projects
Strong track record of delivering large, cross functional projects
Experience working in a global organization and delivering global solutions
Use of Machine Learning and Artificial Intelligence in the generation of hypotheses within Real World Data",4.0,"AstraZeneca
4.0","Gaithersburg, MD",-1,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,92,151,121.5,AstraZeneca,MD,0,107,1,0,0,0,0,0
Director of Data Sciences,$92K-$151K (Glassdoor Est.),"Job Description:
This position is responsible for directing and leading a team in data analysis for the purpose of targeting and segmentation using a variety of statistical techniques, assisted by subordinate managers.

Essential Job Functions:
Oversee and coordinate the daily operations of the analytics department.
Develop long- and short-term strategies and oversee implementation.
Provide analytical consulting and statistical expertise to the database group, or internal clients, as appropriate.
Assist in the evaluation of external statistical packages.
Interview, hire, and counsel direct report employees. Delegate activities to appointed managers. Ensure that responsibilities, authorities, and accountability of all subordinates are defined and understood.
Direct all technical phases of specific analytical projects to produce raw data.
Oversee writing of project specifications to be delivered for implementation.
Provide analytic service and support for other internal departments.
Explain difficult technical material cogently to a qualitative minded audience.
Provide project specifications for non-client specific projects to the appropriate internal personnel.
Provide technical opinions on various statistical topics for the benefit of both external and internal personnel.
Establish and maintain positive and effective business relationships with internal and external contacts.

Qualifications:

Knowledge, Skill, and Abilities:
Ability to communicate effectively both orally and in writing with employees and external contacts, while maintaining confidentiality in all related discussions.
High comfort level with multi-tasking.
Ability to work in a team environment.
Broad knowledge of various statistical and data mining methodologies including including linear and nonlinear regression modeling, ANOVA, cluster analysis, Naïve Bayes decision tree analysis, discriminate analysis, PCA, canonical correlation analysis, CHAID, and Life Time Value analysis.
Must be able to manage time in such a way that all project deadlines or milestones are achieved.
Effective strategic planning skills.
Must be able to apply knowledge across major functional areas to achieve the Company's strategic mission and influence results.
Must be a highly motivated, self-starter, with a strong work ethic, and technical and analytical proficiency.
Ability to successfully lead a team of associates.
V. Education, Certification, and Experience:
Bachelor's degree in Statistics, Mathematics, or a related field of study, or equivalent is required.
7 to 10 years business experience required.
Experience in a related field preferred.
Familiarity with large datasets strongly preferred.
Master's degree is preferred.
Education, Experience, and Certification:
Bachelor's degree in Statistics, Mathematics, or a related field of study, or equivalent is required.
7 to 10 years business experience required.
Experience in a related field preferred.
Familiarity with large datasets strongly preferred.
Master's degree is preferred.
#LI-DNI

Posting Location:
Home/Telecommuting

Position Type:
Full Time

Additional Posting Locations:
Washington DC",3.9,"Yes Marketing
3.9","Omaha, NE",-1,201 to 500 Employees,2000,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,92,151,121.5,Yes Marketing,NE,0,20,0,0,0,0,0,0
Data Analyst,$92K-$151K (Glassdoor Est.),"Summary: The Information Technology Data Analyst is responsible for the organization's data, making sure that the data repositories produce consistent, reusable quality data. The IT Data Analyst develops analysis and reporting capabilities across the organization, with an emphasis on fundraising (approximately 65%), and monitors performance and quality control plans to identify improvements. This position works collaboratively with management and key stakeholders, to identify business needs and to develop a plan that will assist the organization with meeting or exceeding its objectives.
Responsibilities
Develop, implement and maintain databases, data analytics and other strategies that optimize statistical efficiency and quality; locate and correct coding issues
Acquire and maintain data from secondary data sources
Create visualizations from views using BI reporting tools
Identify, analyze, and interpret trends or patterns in data sets using statistical techniques
Develop policies and procedures for the collection and analysis of data
Review and validate departmental customer data as it is collected
Filter and clean data by reviewing reports and performance indicators
Identify and define new process improvement opportunities
Provide basic BI software training for end-users
Serve as a member of the Data Governance team
Qualifications
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages, databases, and programming, such as SQL Server, and ETL frameworks
Strong analytical skills with the ability to collect, organize, analyze, and disseminate information with attention to detail and accuracy
Adept at writing queries and reports; presenting findings
Ability to work well under pressure, managing changing timelines and conflicting demands
BS in Information Management, Statistics or related field
3+ years’ experience with Salesforce
3+ years’ experience with BI tools, such as Power BI (preferred)
Strong understanding of fundraising processes and reporting needs (preferred)
Change management skills; ability to organize and execute required system changes
Excellent verbal and written communication skills
Ability to understand requirements and explain technical issues to non-technical staff
Ability to work with people from all levels inside and outside of the organization
Salary Range: $50,181 - $57,708
Competitive Benefits
PLEASE FOLLOW DIRECTIONS BELOW.
How To Apply:
Interested applicants should send a resume and cover letter to: humanresources@girlsinc.org no later than September 30, 2020. No phone calls, please.
GIRLS INC. IS AN EQUAL OPPORTUNITY EMPLOYER.",3.6,"Girls Inc
3.6","Indianapolis, IN",-1,51 to 200 Employees,1945,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD),-1,92,151,121.5,Girls Inc,IN,0,75,0,0,0,0,0,1
Data Scientist,$92K-$151K (Glassdoor Est.),"Job Description:

Metron is seeking talented Data Scientists for a Data Science Support effort. You will be working directly with a government team to design, implement and analyze the results of data science solutions to the client’s machine learning and data mining problems. The ideal candidate will be a self-starter that enjoys working in teams and grappling with data problems from identifying data requirements to implementing analytics and machine learning solutions.

Required Qualifications:
BS or MS degree in Data Science, Data Analytics, Mathematics or related field
At least two years of industry experience is preferred
Experience in theoretical and practical background in statistical analysis, machine learning, predictive modeling, and/or optimization.
Generate hypotheses, design experiments, gather, review and transform data, and test the hypotheses using modern and statistically rigorous methodologies.
Experience developing in languages commonly used for data analysis such as Python, R, Julia, or SAS
Experience working with databases such as SQL or MongoDB.
Experience working with large-scale data sets.
Experience producing data visualizations.
Excellent verbal and written communications skills
US Citizenship required, successful candidates will be subject to a security investigation and must meet eligibility requirements for access to classified information.

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1,92,151,121.5,"Metron, Inc.",VA,0,-1,1,0,0,0,0,1
Data Analyst,$92K-$151K (Glassdoor Est.),"Breckenridge Grand Vacations (BGV) is seeking qualified analysts who will help grow our highly cross-functional analytics department. The Data Analyst is responsible for quantitative& qualitative analysis, reporting, and data mining across all of BGV’s finance, marketing, operations, and sales divisions. At its highest level, this position identifies the business’ analytical needs, collaborates with the analytics team& business intelligence, develops thoughtful analyses, and effectively communicates findings and recommendations to key decision makers including executive leadership. BGV Analysts are highly detail oriented, proactive self-starters, team players, capable of multi-tasking, and can analyze large amounts of data with creativity and innovation in mind. Please visit www.BGVjobs.com to apply!

Data Analyst Essential Duties and Responsibilities(including but not limited to):
Understand and facilitate the integration of various business processes, people, software, data, and relevant technology to identify, configure, and communicate meaningful information that supports and drives decision making across all divisions of the company.
Leverage Tableau, MS Excel, and other BI tools for analysis, reporting, data visualization, self-service support, across disparate systems. Analysts must stay abreast of changes and improvements within the software to maximize value.
Provide pertinent information to BGV managers and executives by assembling and summarizing data, developing thorough analyses, preparing reports, identifying business solutions, making presentations of findings, and recommending courses of action.
Build and maintain analytical models, dashboards, reports, and templates to drive awareness and understanding of key performance indicators while ensuring quality, accuracy, and a focused analytic review.
Utilize data analysis skills to perform full lifecycle analytics including gathering requirements, design and development of analytic data sets, data mining, data quality assessment, data profiling, analytical infrastructure maintenance, and predictive analytics support.
Convert business expectations into data analysis while recognizing the audience and effectively communicating complexities at an executive level.
Analytics Team Cross-Functional Focuses(including but not limited to):

Financial Analysis and Reporting:
Pro forma financial statements; revenue/expense budget development and variance tracking; profit/cost efficiencies; resort financing& hypothecation; accounts receivable management; tax reporting; prospective resort development
Marketing Analysis and Reporting:
Campaign strategy and segmentation; program, CRM, website, lead generation, and call center performance; property tour conversion; tour budgeting; tour show-rate tracking; no show predictions; product affinity; customer list building& targeting
Operations Analysis and Reporting:
Resort occupancy, owner usage, exchange usage, rental inventory and revenue management, average daily rates, guest outreach, owner support, reservation& contact center, vacation rentals, resort operations department performance, guest surveys
Sales Analysis and Reporting:
Sales volume forecasting; inventory control; pricing& commission management; agent performance; tour prospect ranking; tour scheduling enhancements; Volume Per Guest (VPG) budgeting; sales management and administrative initiatives
Required Experience:
2– 5 years of related professional experience developing analytics and working with data in an organization
Bachelor’s degree in Analytics, Finance, Economics, Marketing, Mathematics, Statistics, Real Estate or other related field
MBA/Masters, concentrations, certifications, or specializations in related field a plus
Qualifications:
Advanced abilities in Tableau and MS Excel (other data visualization and BI tools ok but Tableau is preferred)
Experience and knowledge of various statistical programming languages (Python, R, MATLAB)
Proficiency in reading and writing code/queries in SQL and Visual Basic (VBA)
Must be highly detail oriented with strong organizational skills and can multi-task
Possesses excellent interpersonal skills, is a team player, and is an enthusiastic learner& self-starter
Motivated by growth opportunities, looking for the ability to make an impact, appreciates work-life balance, and has an entrepreneurial spirit
Benefit Summary:
Robust Medical, dental, and vision insurance plans and employer match 401(k) plan
Paid holiday time-off and paid volunteer time-off
Recreation and ski pass programs
Tickets to Rockies, Avalanche and Nuggets games, Pepsi Center concerts and events
Discounts on lodging, retail, restaurants, and activities
Employee housing(subject to availability)
About Breckenridge Grand Vacations:

BGV was formed in 1984, serving as the developer, owner, and operator of four Breckenridge Resorts: Gold Point Resort, Grand Timber Lodge, the Grand Lodge on Peak 7 and our newest resort, the Grand Colorado on Peak 8. Winner of the ACE Philanthropic Award in 2016 from the American Resort Development Association (ARDA), Denver Post’s 2018 Top Large Workplace: 1st Place, and winner of the ACE Project of Excellence (Grand Colorado on Peak 8) in 2020 from the American Resort Development Association (ARDA) as the best resort in the world for the year. Breckenridge Grand Vacations is widely recognized as one of the most successful independent developers in the industry.

Here at Breckenridge Grand Vacations, we pride ourselves on always creating Grand vacations for families and friends alike. Our purpose statement sets the stage for impacting the lives not only of our owners and guests, but our employees and our community:The Soul of BGV is creating smiles!",4.3,"Breckenridge Grand Vacations
4.3","Breckenridge, CO",-1,501 to 1000 Employees,1984,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,$10 to $25 million (USD),-1,92,151,121.5,Breckenridge Grand Vacations,CO,0,36,1,0,0,0,0,1
Data Analytics and Governance Intern,$92K-$151K (Glassdoor Est.),"Blue Cross and Blue Shield of Nebraska (BCBSNE) is more than just an insurance company; we exist to be there for people in the best and hardest moments of their lives.

Our team is the power behind that promise. And, as the industry rapidly evolves and we seek ways to optimize business processes and customer experiences, theres no greater time for forward-thinking professionals like you to join us in delivering on it!

As a member of Team Blue, youll find purpose, opportunities and the support you need to build a meaningful career and make a powerful impact in our community.

Blue Cross and Blue Shield of NE is looking for enthusiastic students with ambition and a passion for Data! We are looking to bring in three interns to join us in the Data Analytics and Governance department. These internships serve as a great opportunity for students to get hands-on experience in specific areas of interest and learn Agile best practices in a fun and rewarding environment.

What you'll do:
Data Analytics: The Data Analytics intern will serve on a highly collaborative Business Analytics team delivering health data analytics and informatics for groups, providers, members and internal leadership. This position will use data to solve puzzles and tell a consistent data story using technologies such as Power BI, R, Excel and SQL.
Data Governance: Data governance is a control that ensures that the data entry by an operations team member or by an automated process meets precise standards, such as a business rule, a data definition and data integrity constraints in the data model. You will have the opportunity to enhance your knowledge about Data Governance, Data Quality, Metadata Management and other areas of Data Management, the asset management industry, and to cooperate closely with all business lines.
To be considered for this position you must have:
Be enrolled full-time in college in pursuant of a degree (preferably in Management Information Systems, Data Analytics, Computer Science, Mathematics, Statistics, Business Administration)
Be a Junior or Senior standing in fall of 2020
Desire for growth and advancement in the area of Data Analytics and Governance
Excellent communication skills
Intellectual curiosity and willingness to learn
A positive attitude and desire to have fun at work
The ability to meet or exceed the attendance and timeliness requirements of their departments
The ability to work well in a team environment, and be capable of building and maintaining positive relationships with other staff, departments, and customers
The most qualified candidates will also possess some or all of the following:
Experience with Microsoft Excel
Knowledge of Power BI, R, and/or SQL
Learn more about what makes BCBSNE such an exceptional place to work by visiting NebraskaBlue.com/Careers.

We strongly believe that diversity of experience, perspective and background will lead to a better workplace for our employees and a better product for our customers and members.

Blue Cross and Blue Shield of Nebraska is an Equal Opportunity /Affirmative Action Employer - Minorities/Females/Disabled/Veterans",3.8,"Blue Cross and Blue Shield of Nebraska
3.8","Omaha, NE",-1,1001 to 5000 Employees,1939,Company - Private,Insurance Carriers,Insurance,$1 to $5 million (USD),-1,92,151,121.5,Blue Cross and Blue Shield of Nebraska,NE,0,81,0,0,0,0,0,1
Claims Representative Trainee,$92K-$151K (Glassdoor Est.),"About Us

On the off chance you've thought about insurance, it's likely because you've insured something you love, not because you loved your insurance company. Metromile is out to change that. As an insurtech powered by data science and customer centric-design, we're building a community of drivers who come for the savings and stay for the experience.

With technology at its core, Metromile is reimagining insurance to make it fairer and actually delightful. We're obsessed with savings, service, and features -- street sweeping alerts, monthly mileage summaries, fuel trackers and more -- that engage a customer all along their journey. We're on the forefront of disrupting a $250 billion auto insurance category that has gone unchanged for over 80 years.

Metromile's diverse team combines the best of Silicon Valley technologists with veterans from Fortune 500 insurers and financial services giants. This management structure ensures that the business is focused on growth, customer experience and technology innovation while also balancing unit economics and profitability. The team is growing quickly across its San Francisco, Tempe, and Boston offices. Our customer service, claims, and sales teams are all based in-house in the US.

Named a Glassdoor Best Place to Work two years in a row, our CEO consistently has a 95+ percent approval rating; nearly 90% say they'd recommend Metromile to a friend.

About the Claims Representative Trainee role

We're looking for someone who's passionate about creating fiercely loyal customers when it matters most. You'll be the primary point of contact for our claims customers from the moment the claim is reported until the claim is fully resolved. If you're tired of the status quo and want to be part of a forward-thinking claims organization on the cutting edge of technology, we want to speak with you!

You will
Investigate, evaluate, and negotiate auto accident claims to reach a fair and equitable settlement for involved parties
Interpret policy contacts and identify how coverage applies to a particular loss
Accurately document files to include all key claims activities
Resolve internal and external customer inquiries
Work with external partners to ensure our customers receive a high level of efficient and effective service
Participate in Friday afternoon nerf gun wars
About you
Demonstrated ability to manage relationships with both internal and external customers
Excellent verbal and written communication skills
Self-managed, highly motivated, and confident
Able to work well under deadlines in a high-paced, changing environment
Strong analytical and problem-solving skills
Effective team player
Detail oriented
Proficient in basic computer skills
Bachelor's degree or equivalent education preferred but not required
What's in it for you
Highly competitive salary plus equity
Excellent benefits package (Medical, Dental, Vision, 401k)
Generous PTO package
Monthly gym membership stipend
Company-sponsored team outings
Rare opportunity to be part of a San Francisco-based tech company growing in Arizona
Metromile is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.",3.8,"Metromile
3.8","Phoenix, AZ",-1,201 to 500 Employees,2011,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,92,151,121.5,Metromile,AZ,0,9,0,0,0,0,0,1
Fraud Management Data Analyst,$92K-$151K (Glassdoor Est.),"Position Description:

The Fraud Management Data Analyst is responsible for researching and generating accurate data to assist in evaluating current fraud processes as well as identifying opportunities to improve processes and procedures with the changes with fraud trends. The Fraud Management Data Analyst will remain educated on the processes involved with processing disputes and inputting cases. They will be responsible for the collection of fraud data to include losses, recoveries, and employee / member related case information. They will act as a resource for the Fraud Management team members to assist with processing fraud requests either through Verafin, Centrix, and other programs pertinent to Fraud Management.

The Fraud Management Department is responsible for identifying and reacting to portfolio risk from an integrated, company-wide perspective which considers risks across business units--formulating effective fraud and loss management programs, policies, and procedures. The department’s main function is to minimize active account loss and maximize the recovery of losses caused by fraud and employee errors. The department works with members to resolve issues, complete reports, and perform analysis to facilitate management’s assessment of risk, fraud, and loss. The department also provides oversight of BSA / Patriot Act compliance and Privacy policy through monitoring of transaction reports, CTR and SAR filings.

Additionally, the department is responsible for identifying and mitigating ATM / Debit card fraud through use of behavioral analytics software and transaction analysis. The team monitors emerging fraud trends within the industry and provides case analysis and loss trends, identifies points of compromise, and ultimately makes recommendations to Senior Management related to the Ent ATM / Debit card program to prevent continued fraud. The staff orders new cards, closes or blocks compromised cards, and processes disputes and charge backs through the VISA network.

Essential Job Duties and Responsibilities:

Systems Administration / Subject matter expert:
Generate reports to monitor Online Account Opening.
Monitor Bill pay Fraud Alerts.
Analyze Fraud data.
Back up Fraud Functions:
Review and investigate FICO Alerts and notifications and Visa after hours.
Review and investigate all CAMS and Falcon Fraud cases (neural network) alert messages.
Review and balance department general Ledger.
Reviews and forwards Shared Branch alerts to Card Services, Fraud Management, and Shared Branch centers.
Back up other areas of Fraud Management department as needed.
Other duties as required

Minimum formal education required for this position:

Knowledge consistent with an Bachelor’s Degree in Accounting, Criminal Justice, or related field of study.

Each year of relevant work experience may be exchanged for a year in a relevant degree program or vice versa. For example, a requirement of“Knowledge Consistent with a Bachelor’s Degree in Accounting and 2+ years’ of accounting experience” could be substituted for a High School Diploma and 6 years of relevant accounting work experience or a Master’s Degree in Accounting and 0 years of work experience.

Minimum work experience:

2+ years’ combined experience with fraud management, auditing, performing fraud investigations or related experience.

Technical or specialized knowledge/skills:
Proven ability to analyze card member transaction database for known merchant / ATM activity and determine course of action to mitigate further fraud.
Proven ability to use reasoning skills to create rules in third party analytical applications as a response to specific fraudulent transactions trends.
Able to translate data analysis into actionable recommendations.
Excellent knowledge of depository processes and procedures.
Demonstrate excellent problem-solving ability and consistent, logical, and effective decision-making based on fact.
Strong product knowledge (ATM, Debit, Checking& Savings).
Excellent interpersonal communication skills to include professional verbal and written communications that may be used in determining if a case is able to be charged back or not.
Strong time management and organizational skills with the ability to manage multiple and diverse on-going projects.
Ability to work with various personalities types to differentiate between victim(s) and suspect(s).
Ability to work with all levels of the organization and match communication styles to the audience being presented to.
Ability to develop and cultivate as a liaison with other financial institutions and law enforcement.
Able to be approachable by the team and lead by example.
Proficient with the Microsoft Office Suite of products (Word/Excel/Outlook).
Certifications required:

None required

Environmental, physical and psychological requirements:

Must be able to sit or stand for prolonged periods of time in a climate controlled environment. Must be able to use fingers, hands, wrists for repetitive tasks such as typing, using a mouse, handling paper, currency, or coin, and operating a telephone. Demands for visual and auditory acuity are typical of an office environment. Must be able to interact via email, telephone, or in person with diplomacy, tact, and courtesy with all members under varying circumstances. Must be able to lift up to 40 lbs.

Starting salary for this position is $57,512.00",3.6,"Ent Credit Union
3.6","Colorado Springs, CO",-1,501 to 1000 Employees,1957,Other Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,92,151,121.5,Ent Credit Union,CO,0,63,0,0,0,0,0,1
Intern - Data Analyst,$92K-$151K (Glassdoor Est.),"Join Episerver in an exciting Internship as a Data Analyst with our Product Team.

As a Data Analyst Intern, you will:
Analyzing historical win/loss data as well as identifying trends in the business
Analyzing product usage by region and customer
Developing reports for C suite
Requirements:
Interested in business
Must be pursuing a Bachelors degree with a major finance or business
Needs to know Excel with experience building pivot tables
This internship will be for 6 months long, 20-25 hours/week, remote-based USA. You will be compensated at $18.00/hour. There are no benefits offered.",4.2,"Episerver
4.2",United States,-1,501 to 1000 Employees,1994,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,92,151,121.5,Episerver,United States,0,26,0,0,0,0,0,1
Financial Data Analyst,$92K-$151K (Glassdoor Est.),"Summary
Responsible for managing the Financial Mapping, Input and review of New Deals, manage the cash Calc waterfalls and timeline, manage the debt Summary and loan documents, etc., all processes related to the asset management and Fund Management of our portfolio. FRA members work across various departments, proactively manage the calendar and implement system and procedural enhancements to assist in individual, team and company goals.

Responsibilities
Manage the financial mapping for Asset Management and inform PA if any changes.
Work with IT on changes and enhancements to the financial mapping to make sure consistent with other applications.
Manage the monthly, quarterly, and annual property financial statements input process.
Train & manage the Financial Input Temps.
Work with the Acquisitions Team to input newly acquired deals into the Asset Management system and present the Development Risk Team, FM, and PA with analysis of the deals
Manage the review of loan documents and identification of key debt restrictions.
Manage the annual property cash analysis and work with the Cash Calc Leadership Team to update and enhance the Cash Calc system.
Review and process checks received for Asset Management fees and surplus cash distributions for all properties
Review Team business processes to identify and resolve inefficiencies, improve workflow, and update relevant documentation
Develop, enhance, and implement the various systems used by the IM-Resource Team. Ensure team equipment is in good working order by completing preventive maintenance requirements and evaluating new equipment and techniques
Perform quality checks on all financial inputs
Train new assets managers and analysts on the financial mapping
May perform special projects as needed
Management
Supervisory responsibilities for the Financial Input Temps.

Analytic
Strong analytical skills, including the ability to manage large data sets, conduct variance analysis, and identify potential issues/problems
Communications
Strong verbal, written, and interpersonal skills
Ability to summarize and communicate observations clearly and timely (in writing, PowerPoint presentations, and verbally) in an organized, engaging, concise manner, and make recommendations, where appropriate
Ability to develop and present effective overview and training presentations to inform team and other department staff and others
Key Stakeholders
Asset Management, Acquisitions Team, Capital Transactions Team, Development Risk Team, IT Team, and other cross-department function staff

Education

Bachelor’s Degree in business, finance, real estate or related field.

Experience
A minimum of 1– 2 years related financial experience
Industry Knowledge
Real estate industry experience, preferred
Interest in affordable housing, LIHTC
Familiarity with Partnership Tax Returns, Financial Statements, and Partnership Agreements, preferred
Professional Knowledge
Solid knowledge of financial statements and reporting, cash flow, income and balance sheets, etc.
Familiarity with basic financial modeling techniques, a plus
Computer Skills
Proficiency with Microsoft Excel required, including a solid understanding of commonly used Excel formulas and the ability to effectively clean, sort, and filter data
Proficiency with other Microsoft Office tools: Word, PowerPoint, Outlook; Access, a plus
Other
Highly motivated and resilient, able to handle cyclical workloads with peak periods of high demand
Ability to anticipate, pivot, adapt, and remain professional through sometimes tense situations
Curious with the desire to continuously learn
Ability to work effectively independently and as a team member
Ability to balance multiple projects and meet firm deliverable deadlines
Keen attention to detail
Highly developed organizational skills
Strong and pro-active problem-solving skills
Basic project management skills, preferred
Reporting
Reports to Team Leader

Travel

Team Building
Ability to thrive in a collaborative, team-based environment-pitching wherever needed to achieve team and business objectives
Assist in the review of work completed by junior level staff members and temporary data entry workers with regard to internal policies, procedures, and systems, as required
Problem-Solving
Critical

Boston Financial Investment Management, LP and its parent company, ORIX USA, is an equal opportunity employer, providing equal employment opportunities (EEO), and is committed to diversifying its workforce. All employees and applicants for employment will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or expression, pregnancy, protected veteran status or other status protected by law. This policy applies to all terms and conditions of employment.",3.3,"Boston Financial Investment Management
3.3","Boston, MA",-1,51 to 200 Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$25 to $50 million (USD),-1,92,151,121.5,Boston Financial Investment Management,MA,0,51,0,0,0,0,0,1
